ID Cliente;Zona;País;Tipo de producto;ID Proveedor;Prioridad;Fecha pedido;ID Pedido;Fecha envío;Unidades;Precio Unitario;Coste unitario;Importe venta total;Importe Coste total
C0420;África;Nigeria;Ropa;P0011;Crítica;26/08/2022;342066037;11/10/2022;3797;109.28 ;35.84 ;414936.16 ;136084.48 
C0497;Europa;Norway;Doméstico;P0012;Crítica;21/02/2021;749748504;16/03/2021;6098;668.27 ;502.54 ;4075110.46 ;3064488.92 
C0282;África;Kenya;Cosméticos;P0006;Media;30/08/2021;828239381;8/10/2021;3293;437.20 ;263.33 ;1439699.60 ;867145.69 
C0932;Australia y Oceanía;Papua New Guinea;Verduras;P0010;Alta;19/02/2022;293212497;9/03/2022;6948;154.06 ;90.93 ;1070408.88 ;631781.64 
C0806;Asia;North Korea;Cuidado personal;P0007;Baja;17/11/2020;280654180;2/01/2021;663;81.73 ;56.67 ;54186.99 ;37572.21 
C0968;Europa;Montenegro;Ropa;P0011;Media;25/11/2020;196863257;9/01/2021;5067;109.28 ;35.84 ;553721.76 ;181601.28 
C0684;Europa;Norway;Frutas;P0004;Alta;6/10/2022;868451058;8/10/2022;2822;9.33 ;6.92 ;26329.26 ;19528.24 
C0923;África;Lesotho;Ropa;P0011;Baja;7/04/2020;492341411;24/05/2020;3619;109.28 ;35.84 ;395484.32 ;129704.96 
C0857;Asia;Indonesia;Cárnicos;P0002;Alta;2/12/2021;485770642;15/12/2021;9183;421.89 ;364.69 ;3874215.87 ;3348948.27 
C0362;África;Iraq;Bebida;P0009;Alta;28/11/2020;536287581;28/12/2020;8268;47.45 ;31.79 ;392316.60 ;262839.72 
C0517;Asia;Singapore;Cereales;P0003;Crítica;3/04/2022;851753556;12/05/2022;1660;205.70 ;117.11 ;341462.00 ;194402.60 
C0103;Asia;South Korea;Verduras;P0010;Media;15/05/2021;810342395;31/05/2021;7177;154.06 ;90.93 ;1105688.62 ;652604.61 
C0105;África;Lebanon;Doméstico;P0012;Baja;26/08/2022;310540425;1/09/2022;4668;668.27 ;502.54 ;3119484.36 ;2345856.72 
C0211;Asia;Myanmar;Frutas;P0004;Alta;23/11/2020;221146476;31/12/2020;1011;9.33 ;6.92 ;9432.63 ;6996.12 
C0312;Asia;Vietnam;Ropa;P0011;Alta;23/09/2022;131271874;27/09/2022;5120;109.28 ;35.84 ;559513.60 ;183500.80 
C0003;África;Jordan;Frutas;P0004;Baja;25/04/2022;600340449;2/06/2022;2935;9.33 ;6.92 ;27383.55 ;20310.20 
C0080;Australia y Oceanía;Palau;Material de oficina;P0008;Baja;20/10/2022;908088529;22/11/2022;2430;651.21 ;524.96 ;1582440.30 ;1275652.80 
C0045;Centroamérica y Caribe;Antigua and Barbuda ;Cereales;P0003;Crítica;4/08/2020;404564940;28/08/2020;8611;205.70 ;117.11 ;1771282.70 ;1008434.21 
C0601;Australia y Oceanía;Papua New Guinea;Cuidado personal;P0007;Baja;21/01/2021;760131013;28/01/2021;8513;81.73 ;56.67 ;695767.49 ;482431.71 
C0154;Centroamérica y Caribe;El Salvador;Ropa;P0011;Media;2/11/2022;115460574;19/11/2022;6205;109.28 ;35.84 ;678082.40 ;222387.20 
C0315;África;Republic of the Congo;Bebida;P0009;Baja;8/02/2022;731539952;9/02/2022;7783;47.45 ;31.79 ;369303.35 ;247421.57 
C0396;Australia y Oceanía;Vanuatu;Cárnicos;P0002;Crítica;3/08/2022;439667975;21/09/2022;6379;421.89 ;364.69 ;2691236.31 ;2326357.51 
C0914;Asia;Bangladesh;Ropa;P0011;Baja;11/09/2022;291455972;16/09/2022;7154;109.28 ;35.84 ;781789.12 ;256399.36 
C0088;África;Burundi;Cereales;P0003;Baja;1/09/2022;508827769;13/09/2022;2299;205.70 ;117.11 ;472904.30 ;269235.89 
C0340;África;South Sudan;Verduras;P0010;Media;17/04/2020;934019696;7/05/2020;6039;154.06 ;90.93 ;930368.34 ;549126.27 
C0795;África;Mozambique;Bebida;P0009;Baja;25/11/2020;579580581;12/12/2020;9628;47.45 ;31.79 ;456848.60 ;306074.12 
C0783;Centroamérica y Caribe;Saint Kitts and Nevis ;Cárnicos;P0002;Crítica;27/08/2021;778371751;3/09/2021;6353;421.89 ;364.69 ;2680267.17 ;2316875.57 
C0335;África;Rwanda;Verduras;P0010;Media;16/07/2021;233567035;17/08/2021;6531;154.06 ;90.93 ;1006165.86 ;593863.83 
C0686;África;Rwanda;Bebida;P0009;Alta;24/10/2022;868652760;8/12/2022;2510;47.45 ;31.79 ;119099.50 ;79792.90 
C0774;Europa;Moldova ;Verduras;P0010;Baja;23/12/2020;177427756;31/01/2021;3671;154.06 ;90.93 ;565554.26 ;333804.03 
C0740;Europa;Austria;Cereales;P0003;Baja;10/07/2020;674003350;30/07/2020;1424;205.70 ;117.11 ;292916.80 ;166764.64 
C0428;Europa;Spain;Ropa;P0011;Baja;16/01/2022;442803370;18/02/2022;4212;109.28 ;35.84 ;460287.36 ;150958.08 
C0885;Asia;China;Alimento infantil;P0005;Crítica;27/10/2020;788564145;1/12/2020;2509;255.28 ;159.42 ;640497.52 ;399984.78 
C0863;África;Qatar;Cosméticos;P0006;Media;21/07/2022;386334502;11/08/2022;3819;437.20 ;263.33 ;1669666.80 ;1005657.27 
C0314;Europa;Georgia;Cuidado personal;P0007;Crítica;22/11/2021;231475770;23/11/2021;7679;81.73 ;56.67 ;627604.67 ;435168.93 
C0896;Asia;Kazakhstan;Doméstico;P0012;Media;18/01/2021;489661777;11/02/2021;656;668.27 ;502.54 ;438385.12 ;329666.24 
C0468;África;Namibia;Cuidado personal;P0007;Baja;18/08/2022;946878850;5/10/2022;1348;81.73 ;56.67 ;110172.04 ;76391.16 
C0594;Centroamérica y Caribe;Jamaica;Cárnicos;P0002;Baja;1/07/2022;559425818;23/07/2022;5386;421.89 ;364.69 ;2272299.54 ;1964220.34 
C0039;África;Syria;Verduras;P0010;Media;22/08/2022;603914010;1/09/2022;431;154.06 ;90.93 ;66399.86 ;39190.83 
C0272;África;Tanzania;Frutas;P0004;Crítica;24/02/2021;627267253;8/03/2021;1174;9.33 ;6.92 ;10953.42 ;8124.08 
C0967;África;Angola;Alimento infantil;P0005;Alta;1/04/2022;696721875;12/05/2022;4340;255.28 ;159.42 ;1107915.20 ;691882.80 
C0498;Asia;China;Cuidado personal;P0007;Baja;18/07/2020;949826705;6/09/2020;3684;81.73 ;56.67 ;301093.32 ;208772.28 
C0444;Europa;Hungary;Cuidado personal;P0007;Baja;30/06/2022;244443070;3/07/2022;4991;81.73 ;56.67 ;407914.43 ;282839.97 
C0087;Europa;Norway;Doméstico;P0012;Alta;29/01/2022;208744800;3/02/2022;1080;668.27 ;502.54 ;721731.60 ;542743.20 
C0912;Australia y Oceanía;Australia;Cárnicos;P0002;Crítica;9/04/2022;291218221;2/05/2022;6798;421.89 ;364.69 ;2868008.22 ;2479162.62 
C0106;África;Nigeria;Doméstico;P0012;Media;22/02/2022;910662162;5/03/2022;4025;668.27 ;502.54 ;2689786.75 ;2022723.50 
C0061;Asia;Thailand;Material de oficina;P0008;Media;9/03/2021;306187951;17/04/2021;6674;651.21 ;524.96 ;4346175.54 ;3503583.04 
C0872;Asia;Taiwan;Frutas;P0004;Alta;16/09/2020;387219417;27/09/2020;5685;9.33 ;6.92 ;53041.05 ;39340.20 
C0834;Asia;India;Verduras;P0010;Baja;5/06/2022;883492887;5/06/2022;4033;154.06 ;90.93 ;621323.98 ;366720.69 
C0950;Europa;Romania;Bebida;P0009;Baja;24/04/2021;695057189;8/05/2021;1723;47.45 ;31.79 ;81756.35 ;54774.17 
C0422;Australia y Oceanía;East Timor;Cosméticos;P0006;Baja;23/04/2021;142273652;16/05/2021;790;437.20 ;263.33 ;345388.00 ;208030.70 
C0158;Europa;Bosnia and Herzegovina;Cereales;P0003;Baja;28/06/2022;515816104;6/08/2022;303;205.70 ;117.11 ;62327.10 ;35484.33 
C0266;Europa;Ireland;Cuidado personal;P0007;Baja;14/06/2022;926670873;17/07/2022;1359;81.73 ;56.67 ;111071.07 ;77014.53 
C0561;Europa;Croatia;Doméstico;P0012;Baja;19/08/2020;556136786;5/09/2020;2089;668.27 ;502.54 ;1396016.03 ;1049806.06 
C0058;África;Iraq;Alimento infantil;P0005;Baja;6/08/2022;905825173;22/08/2022;2653;255.28 ;159.42 ;677257.84 ;422941.26 
C0476;Europa;Malta;Material de oficina;P0008;Crítica;7/06/2021;847659862;22/07/2021;245;651.21 ;524.96 ;159546.45 ;128615.20 
C0738;Europa;Ireland;Cárnicos;P0002;Baja;26/01/2022;673877179;21/02/2022;4087;421.89 ;364.69 ;1724264.43 ;1490488.03 
C0470;África;Madagascar;Alimento infantil;P0005;Baja;14/09/2022;747025954;12/10/2022;435;255.28 ;159.42 ;111046.80 ;69347.70 
C0499;Europa;Austria;Cosméticos;P0006;Media;1/12/2021;149967515;27/12/2021;7575;437.20 ;263.33 ;3311790.00 ;1994724.75 
C0358;África;Sierra Leone;Cuidado personal;P0007;Crítica;17/02/2020;735875689;25/03/2020;824;81.73 ;56.67 ;67345.52 ;46696.08 
C0782;Europa;Netherlands;Material de oficina;P0008;Crítica;9/01/2021;378236806;18/02/2021;7531;651.21 ;524.96 ;4904262.51 ;3953473.76 
C0208;Europa;Croatia;Cosméticos;P0006;Alta;15/07/2021;620849692;18/07/2021;2075;437.20 ;263.33 ;907190.00 ;546409.75 
C0278;Centroamérica y Caribe;Trinidad and Tobago;Snacks;P0001;Baja;11/11/2021;827825677;19/11/2021;869;152.58 ;97.44 ;132592.02 ;84675.36 
C0335;Asia;South Korea;Doméstico;P0012;Crítica;5/03/2021;433588588;28/03/2021;7353;668.27 ;502.54 ;4913789.31 ;3695176.62 
C0928;Australia y Oceanía;Samoa ;Cárnicos;P0002;Alta;24/11/2021;292874753;25/12/2021;7003;421.89 ;364.69 ;2954495.67 ;2553924.07 
C0307;Europa;Albania;Material de oficina;P0008;Baja;31/07/2022;430733001;2/08/2022;2322;651.21 ;524.96 ;1512109.62 ;1218957.12 
C0925;África;Cape Verde;Frutas;P0004;Media;3/03/2022;492524659;25/03/2022;7846;9.33 ;6.92 ;73203.18 ;54294.32 
C0939;Europa;Italy;Bebida;P0009;Baja;9/06/2021;193923556;20/06/2021;5145;47.45 ;31.79 ;244130.25 ;163559.55 
C0709;Europa;Hungary;Bebida;P0009;Baja;26/07/2021;670916020;2/08/2021;7815;47.45 ;31.79 ;370821.75 ;248438.85 
C0298;Asia;Maldives;Alimento infantil;P0005;Crítica;17/09/2022;429800879;19/10/2022;6486;255.28 ;159.42 ;1655746.08 ;1033998.12 
C0971;África;Mali;Doméstico;P0012;Alta;25/07/2022;297189462;19/08/2022;3821;668.27 ;502.54 ;2553459.67 ;1920205.34 
C0700;África;Yemen;Cuidado personal;P0007;Media;26/08/2020;270005595;4/09/2020;9511;81.73 ;56.67 ;777334.03 ;538988.37 
C0654;Asia;North Korea;Snacks;P0001;Baja;15/08/2022;865485608;10/09/2022;5279;152.58 ;97.44 ;805469.82 ;514385.76 
C0711;Asia;Uzbekistan;Cereales;P0003;Alta;28/08/2021;871178328;28/08/2021;9882;205.70 ;117.11 ;2032727.40 ;1157281.02 
C0949;Europa;Latvia;Verduras;P0010;Baja;12/10/2022;494945085;6/11/2022;4104;154.06 ;90.93 ;632262.24 ;373176.72 
C0149;Asia;Singapore;Snacks;P0001;Crítica;29/05/2021;914959704;24/06/2021;5764;152.58 ;97.44 ;879471.12 ;561644.16 
C0297;Europa;Lithuania;Doméstico;P0012;Baja;7/12/2021;229708516;23/01/2022;4709;668.27 ;502.54 ;3146883.43 ;2366460.86 
C0079;África;Senegal;Bebida;P0009;Alta;4/01/2022;207990348;20/01/2022;7821;47.45 ;31.79 ;371106.45 ;248629.59 
C0389;África;South Sudan;Verduras;P0010;Crítica;20/07/2022;438916528;18/08/2022;4009;154.06 ;90.93 ;617626.54 ;364538.37 
C0819;Europa;Bulgaria;Alimento infantil;P0005;Alta;30/07/2020;581910884;16/08/2020;9217;255.28 ;159.42 ;2352915.76 ;1469374.14 
C0167;África;Seychelles ;Cárnicos;P0002;Alta;4/02/2022;816709744;1/03/2022;1417;421.89 ;364.69 ;597818.13 ;516765.73 
C0933;Centroamérica y Caribe;Saint Kitts and Nevis ;Doméstico;P0012;Alta;24/08/2020;493361937;29/09/2020;5616;668.27 ;502.54 ;3753004.32 ;2822264.64 
C0822;Centroamérica y Caribe;Saint Vincent and the Grenadines;Alimento infantil;P0005;Alta;10/08/2021;382228791;26/09/2021;8848;255.28 ;159.42 ;2258717.44 ;1410548.16 
C0239;Europa;Andorra;Cosméticos;P0006;Baja;2/10/2020;423984134;14/11/2020;5182;437.20 ;263.33 ;2265570.40 ;1364576.06 
C0796;África;Mali;Cárnicos;P0002;Crítica;3/11/2022;179614293;23/11/2022;716;421.89 ;364.69 ;302073.24 ;261118.04 
C0804;África;Togo;Cuidado personal;P0007;Media;26/02/2020;180418097;15/03/2020;8579;81.73 ;56.67 ;701161.67 ;486171.93 
C0780;Asia;Thailand;Cárnicos;P0002;Alta;17/07/2022;578006875;21/08/2022;3934;421.89 ;364.69 ;1659715.26 ;1434690.46 
C0943;Europa;Moldova ;Doméstico;P0012;Alta;1/09/2021;694304454;9/09/2021;8972;668.27 ;502.54 ;5995718.44 ;4508788.88 
C0715;Centroamérica y Caribe;Trinidad and Tobago;Alimento infantil;P0005;Alta;14/01/2021;371547162;23/02/2021;7917;255.28 ;159.42 ;2021051.76 ;1262128.14 
C0222;Asia;Japan;Bebida;P0009;Media;6/04/2020;422283828;26/04/2020;2024;47.45 ;31.79 ;96038.80 ;64342.96 
C0793;África;Central African Republic;Cereales;P0003;Crítica;23/03/2022;379375779;23/03/2022;4578;205.70 ;117.11 ;941694.60 ;536129.58 
C0459;África;Azerbaijan;Cuidado personal;P0007;Baja;11/03/2020;745996844;3/04/2020;5899;81.73 ;56.67 ;482125.27 ;334296.33 
C0456;África;Mauritania;Frutas;P0004;Baja;20/02/2022;745633351;3/04/2022;8333;9.33 ;6.92 ;77746.89 ;57664.36 
C0720;Europa;Portugal;Snacks;P0001;Media;16/09/2020;572084128;5/11/2020;1261;152.58 ;97.44 ;192403.38 ;122871.84 
C0394;África;Liberia;Bebida;P0009;Baja;22/05/2020;939460504;24/05/2020;6095;47.45 ;31.79 ;289207.75 ;193760.05 
C0321;África;South Sudan;Frutas;P0004;Alta;12/10/2021;832186305;26/11/2021;1276;9.33 ;6.92 ;11905.08 ;8829.92 
C0549;África;Cameroon;Frutas;P0004;Baja;28/02/2020;654997861;2/04/2020;7277;9.33 ;6.92 ;67894.41 ;50356.84 
C0829;Centroamérica y Caribe;Cuba;Cárnicos;P0002;Baja;23/03/2021;882943999;7/04/2021;1605;421.89 ;364.69 ;677133.45 ;585327.45 
C0113;África;Malawi;Frutas;P0004;Baja;27/06/2022;711386048;15/08/2022;3795;9.33 ;6.92 ;35407.35 ;26261.40 
C0059;Australia y Oceanía;Tuvalu;Bebida;P0009;Baja;9/06/2020;305997836;10/07/2020;415;47.45 ;31.79 ;19691.75 ;13192.85 
C0527;África;Burundi;Cárnicos;P0002;Alta;19/07/2020;352765691;11/08/2020;62;421.89 ;364.69 ;26157.18 ;22610.78 
C0079;África;Liberia;Verduras;P0010;Crítica;15/07/2021;707988440;8/08/2021;8367;154.06 ;90.93 ;1289020.02 ;760811.31 
C0482;Asia;Turkmenistan;Verduras;P0010;Media;13/07/2022;848277413;29/08/2022;2992;154.06 ;90.93 ;460947.52 ;272062.56 
C0205;África;Uganda;Doméstico;P0012;Media;16/08/2021;320556437;25/09/2021;8628;668.27 ;502.54 ;5765833.56 ;4335915.12 
C0920;África;Lebanon;Alimento infantil;P0005;Alta;6/03/2020;992061841;24/03/2020;1999;255.28 ;159.42 ;510304.72 ;318680.58 
C0003;Europa;Switzerland;Material de oficina;P0008;Media;20/05/2021;300342452;24/06/2021;6861;651.21 ;524.96 ;4467951.81 ;3601750.56 
C0032;África;Kuwait;Verduras;P0010;Alta;2/04/2020;703259599;5/04/2020;8998;154.06 ;90.93 ;1386231.88 ;818188.14 
C0289;Asia;India;Ropa;P0011;Alta;17/03/2022;228987109;14/04/2022;1229;109.28 ;35.84 ;134305.12 ;44047.36 
C0260;África;Angola;Cereales;P0003;Crítica;22/08/2021;126011312;18/09/2021;8402;205.70 ;117.11 ;1728291.40 ;983958.22 
C0131;Asia;Uzbekistan;Bebida;P0009;Crítica;28/06/2020;813131034;1/07/2020;2397;47.45 ;31.79 ;113737.65 ;76200.63 
C0294;Europa;Latvia;Cuidado personal;P0007;Crítica;5/02/2021;529457604;5/03/2021;7126;81.73 ;56.67 ;582407.98 ;403830.42 
C0844;África;Ghana;Cárnicos;P0002;Media;2/12/2021;284414851;7/12/2021;3530;421.89 ;364.69 ;1489271.70 ;1287355.70 
C0077;Europa;Poland;Bebida;P0009;Crítica;22/10/2021;707739102;28/10/2021;4583;47.45 ;31.79 ;217463.35 ;145693.57 
C0994;Asia;Mongolia;Cosméticos;P0006;Baja;15/06/2021;699479186;25/07/2021;290;437.20 ;263.33 ;126788.00 ;76365.70 
C0799;Asia;Vietnam;Cereales;P0003;Crítica;13/12/2021;579996430;9/01/2022;2687;205.70 ;117.11 ;552715.90 ;314674.57 
C0399;Europa;United Kingdom;Cereales;P0003;Baja;29/06/2020;739964663;27/07/2020;842;205.70 ;117.11 ;173199.40 ;98606.62 
C0903;Australia y Oceanía;Vanuatu;Ropa;P0011;Baja;31/05/2020;290370213;15/06/2020;5854;109.28 ;35.84 ;639725.12 ;209807.36 
C0125;África;Ethiopia;Frutas;P0004;Baja;22/02/2021;212511909;22/02/2021;5851;9.33 ;6.92 ;54589.83 ;40488.92 
C0080;África;Niger;Frutas;P0004;Crítica;13/07/2022;208001077;22/07/2022;996;9.33 ;6.92 ;9292.68 ;6892.32 
C0487;África;Central African Republic;Cuidado personal;P0007;Alta;9/07/2020;948761546;13/07/2020;8480;81.73 ;56.67 ;693070.40 ;480561.60 
C0270;África;Cape Verde;Snacks;P0001;Crítica;18/01/2020;927029645;29/01/2020;7527;152.58 ;97.44 ;1148469.66 ;733430.88 
C0053;Norteamérica;United States of America;Cuidado personal;P0007;Crítica;26/02/2022;505354201;12/04/2022;4393;81.73 ;56.67 ;359039.89 ;248951.31 
C0665;África;Sudan;Frutas;P0004;Crítica;30/07/2022;566596543;1/09/2022;7363;9.33 ;6.92 ;68696.79 ;50951.96 
C0639;África;Republic of the Congo;Material de oficina;P0008;Crítica;24/09/2021;263930499;5/11/2021;1755;651.21 ;524.96 ;1142873.55 ;921304.80 
C0708;Australia y Oceanía;Federated States of Micronesia;Frutas;P0004;Crítica;10/06/2020;170842397;10/06/2020;4917;9.33 ;6.92 ;45875.61 ;34025.64 
C0311;África;South Sudan;Frutas;P0004;Baja;10/05/2021;931131064;7/06/2021;1229;9.33 ;6.92 ;11466.57 ;8504.68 
C0089;África;Cape Verde;Frutas;P0004;Media;27/10/2021;108907830;31/10/2021;7102;9.33 ;6.92 ;66261.66 ;49145.84 
C0385;Australia y Oceanía;Palau;Doméstico;P0012;Alta;31/12/2020;738596522;18/02/2021;5979;668.27 ;502.54 ;3995586.33 ;3004686.66 
C0749;África;Bahrain;Material de oficina;P0008;Baja;29/04/2021;974933469;12/06/2021;3333;651.21 ;524.96 ;2170482.93 ;1749691.68 
C0429;África;Algeria;Material de oficina;P0008;Media;4/05/2021;842967498;14/05/2021;1670;651.21 ;524.96 ;1087520.70 ;876683.20 
C0880;África;Botswana;Cuidado personal;P0007;Crítica;7/11/2022;888059937;10/12/2022;5525;81.73 ;56.67 ;451558.25 ;313101.75 
C0258;África;Seychelles ;Doméstico;P0012;Media;1/12/2020;825884616;3/01/2021;6466;668.27 ;502.54 ;4321033.82 ;3249423.64 
C0924;África;The Gambia;Material de oficina;P0008;Alta;8/06/2022;892427861;25/07/2022;8091;651.21 ;524.96 ;5268940.11 ;4247451.36 
C0939;África;Guinea-Bissau;Material de oficina;P0008;Baja;2/11/2021;493988502;21/12/2021;1030;651.21 ;524.96 ;670746.30 ;540708.80 
C0571;África;Pakistan;Verduras;P0010;Baja;17/07/2022;457177865;11/08/2022;7945;154.06 ;90.93 ;1224006.70 ;722438.85 
C0789;África;Mauritania;Cárnicos;P0002;Media;19/03/2021;778919780;20/03/2021;8527;421.89 ;364.69 ;3597456.03 ;3109711.63 
C0764;Asia;Thailand;Material de oficina;P0008;Alta;22/08/2020;176450574;8/09/2020;4501;651.21 ;524.96 ;2931096.21 ;2362844.96 
C0373;África;Afghanistan;Cárnicos;P0002;Media;1/08/2022;137319076;20/09/2022;4621;421.89 ;364.69 ;1949553.69 ;1685232.49 
C0693;África;The Gambia;Ropa;P0011;Baja;17/08/2020;869386613;25/09/2020;9673;109.28 ;35.84 ;1057065.44 ;346680.32 
C0508;África;Oman;Cárnicos;P0002;Baja;16/08/2021;850827014;29/08/2021;7476;421.89 ;364.69 ;3154049.64 ;2726422.44 
C0801;África;Burkina Faso;Snacks;P0001;Alta;24/05/2021;880126607;7/06/2021;7876;152.58 ;97.44 ;1201720.08 ;767437.44 
C0260;África;Cameroon;Ropa;P0011;Media;12/06/2020;926084220;5/07/2020;7755;109.28 ;35.84 ;847466.40 ;277939.20 
C0778;África;Burkina Faso;Cereales;P0003;Alta;21/07/2022;577811181;23/08/2022;6024;205.70 ;117.11 ;1239136.80 ;705470.64 
C0947;Europa;Serbia;Snacks;P0001;Alta;17/11/2021;394731318;12/12/2021;8624;152.58 ;97.44 ;1315849.92 ;840322.56 
C0565;África;Mauritius ;Doméstico;P0012;Crítica;26/07/2021;556580960;9/09/2021;3529;668.27 ;502.54 ;2358324.83 ;1773463.66 
C0134;África;Liberia;Material de oficina;P0008;Crítica;17/11/2020;413408935;13/12/2020;5745;651.21 ;524.96 ;3741201.45 ;3015895.20 
C0355;Europa;Latvia;Cuidado personal;P0007;Crítica;3/05/2022;735576570;17/05/2022;2308;81.73 ;56.67 ;188632.84 ;130794.36 
C0637;Asia;China;Ropa;P0011;Media;16/09/2021;563757693;1/11/2021;7284;109.28 ;35.84 ;795995.52 ;261058.56 
C0589;Australia y Oceanía;New Zealand;Verduras;P0010;Baja;22/11/2020;358938634;9/12/2020;6773;154.06 ;90.93 ;1043448.38 ;615868.89 
C0524;África;Sierra Leone;Snacks;P0001;Crítica;3/10/2020;652418220;19/10/2020;3904;152.58 ;97.44 ;595672.32 ;380405.76 
C0958;Europa;Bulgaria;Material de oficina;P0008;Crítica;26/07/2022;695807778;6/09/2022;3839;651.21 ;524.96 ;2499995.19 ;2015321.44 
C0110;África;Somalia;Material de oficina;P0008;Crítica;5/11/2020;711031138;7/12/2020;8769;651.21 ;524.96 ;5710460.49 ;4603374.24 
C0403;Europa;Spain;Bebida;P0009;Alta;17/12/2021;540324628;25/01/2022;2919;47.45 ;31.79 ;138506.55 ;92795.01 
C0962;Europa;Cyprus;Cereales;P0003;Media;31/08/2022;996237075;31/08/2022;7544;205.70 ;117.11 ;1551800.80 ;883477.84 
C0116;África;Namibia;Ropa;P0011;Media;12/02/2020;711629807;5/03/2020;5929;109.28 ;35.84 ;647921.12 ;212495.36 
C0896;Norteamérica;Greenland;Cereales;P0003;Alta;19/11/2021;189676654;1/01/2022;8392;205.70 ;117.11 ;1726234.40 ;982787.12 
C0538;África;Rwanda;Doméstico;P0012;Baja;23/08/2021;453863942;9/09/2021;7281;668.27 ;502.54 ;4865673.87 ;3658993.74 
